"nama","ulasan","penilaian"
"Ramlah Hasan","Jika butuh sesuatu beli d toko pedia yg selalu siap melayani anda,oke teman""????","3"
"Aditia arifmawan","Tokopedia sangat bagus untuk belanja online bagi kaum rebahan","5"
"nur aini","Lebih mengutamakan kepuasan konsumen..byk penjual nakal dan proses pengembalian uang selalu tepat waktu dan sesuai prosedur","5"
"Zusmi Sefnida","Baru mencoba aplikasi ini,alamat jln abdu Muis Painan ( Pesisir Selatan) Sumbar","5"
"Inderawati Inderawati","Ba?uuuus aplikasinya rugi kalo gak donlot tokopedia slalu dtunggu promonya kalo bisa bebas ongkirnya gak selalu diatas 50 ribu dibawah 50 ribu jg ada bebas ongkirnya.mksh","5"
"rizky agustian","Cukup bintang berbicara, baru pake tokped baru selesai pembayaran langsung di cancel sama pihak tokped! Tokped yah yg cancel dgn alasan melakukan pelanggaran katanya manipulasi akun. Aneh bener ini aplikasi baru juga install akun cuma ada 1 gak nglakuin yg aneh2 kok dituduh manipulasi! Bangke!","1"
"Ida Andriani","Toko pedia memang untuk kita","5"
"Steven Lim","Habis update malah susah pake nya, susah buat ngeliat foto2 ulasan, klik satu foto di komentar malah nongol semua foto2 dari komentar lain, jadi bingung ngeliat nya, masih nyaman pakai yang versi lama, nyesel update, please dong diperbaiki. Terimakasih.?? Edited : sudah diperbaiki. Mantapp.????","5"
"Andi Adi","lebih di tingkatkan lgi pelayanan ya, dan semoga makin banyak promo, trima kasih","5"
"fhasolleck fulline","sangat puas belanja dsini","5"
"agus setiawan","tokopedia muantaaapppp, belanja murah ya toko pedia","5"
"Risha Suasti","memudahkan belanja segala kebutuhan saya sangat puas semoga kedepannya gak akan pernah ada kata mengecewakan pelanggan sukses terus tokopedia","5"
"Sulasmi putri12","nyaman sekali belanja disini??","5"
"Fitri Cohdot","Aplikasinya bagus bgt gak kecewa pokoknya??","5"
"Elita Aditya","aplikasi yg sangat bagus....","5"
"Priska Wen","Sekarang tokped suka kasih free ongkir instant/sameday bener2 membantu untuk orderan makanan basah/beku yg wajib express. Lalu tiap x refund tokped jg selalu belain krn memang penjual yang salah gk sesuai foto deskripsi. Cuma tuh utk FLASH SALE makanan itu selalu gk dpt masa quota cm 5 porsi, ud di pantengin eh 2 menit ud habis??, tolong donk tokped kl penjual bersedia flash 50 porsi knp gk? Jadinya tuh gw gk pernahh kebagian.","5"
"Dudung Permana","Kenapa sih tiap mau melakukan pembayaran selalu gagal terus. Ini sangat mengganggu","3"
"Yulisa homsyah","Setelah di upgrade setiap cari barang yg di inginkan yg keluar malah barang yg g nyambung am yg dibutuhkan","2"
"Umyati Bae","belanja Tokopedia mantap banyak promo gratis ongkir","5"
"Mobile Anima TV","mudah dan banyak diskon voucher","5"
"Wahyu Kurniawan","saya sangat kecewa saya kira dengan update apk saya bisa tarik saldo saya nyatanya tetap saja tidak bisa , jadi intinya kita di wajibkan memakai saldo tanpa bisa menarik saldo ke rekening saya sendiri , pantas apk sebelah makin ramai ternyata tokped seperti ini pelayananya !!!!","1"
"Idrus Setiawan","kasih 4 binta dulu. lagi pertama kali pake tokopedia","4"
"Mariya Indah S","Kesel banget pake tokopedia !!! 2x transaksi pembayaran via BCA VA dibatalkan, uangnya direfund ke saldo Tokped.. Giliran mau proses refund ke atm dipersulit !!! Jelek bgt","2"
"jogja istimewah","Saya pernah klaim barang ,tertipu barang sampah, tapi tidak ada solusi, penjual sama sekali tidak respond, saya bisa buktikan semua chat responnya. Notifikasi promo dikurangi","1"
"Mochammad Hendra","Good, pokoke mantul lah.","5"
"Siti Mutmainnah","Cara cerdas belanja online","5"
"Alfian Ashari Romadhoni","Tolong dibuat shortcut buat cetak slip alamat, supaya tidak harus membuka melalui browser ??","1"
"Hendra Budi","sementara bintang 3 dulu yak kl bener kekirim ditambah bintangnya","3"
"Supriyo Priyo","Knapa ya Komplin kok selalu gagal,susah, mhon perbaikan, sy gak bisa komplin, selalu cancel trus, dan penjual gak mau ganti kerugian sy, dan otomatis kita sangat merugi","1"
"Andri Iskandar","semoga bisa no 1 terus","4"
"Magfira Ananda iskandar","Bagus banget terus dukung aplikasi dari Indonesia! Semangat terus Tokopedia ??","5"
"ayen adil","Tingkatkan terus.hampir puas.masih ada pembatasan limit pembayaran tagihan nih.hingga tertolak utk membayar ke Telkom.","4"
"icha cute","Selalu puas harga yg ditawarkan murah murah dan barang yg datang sesuai, pelayanan jg cepat. Komplen di respon dengan baik dan akurat. Pokoknya top bgt","5"
"agus tyar","Kenapa pembayaran ditempat gk ada /COD? Plise dong developer tokopedia perbaiki masalah ini gw.mau bayar ditempat karna gw gk punya kartu debit atau semacamnya!","1"
"teguh hartanto","mantap.. pekerjaan jadi semakin lancar dan mudah","5"
"Reza Krukah","Kalo memang orderan melanggar kenapa tidak di batalkan sebelum saya melakukan pembayaran....setelah saya melakukan pembayaran...orderan baru di batalkan dan saldo refund....terlalu merugikan...karena biaya admin pembayaran di toko tersebut harus hilang dan tidak kembali....parah...","1"
"Pengguna Google","Saya tidak tau cara memesan nya ????","3"
"Lianly Desiani","Simple transaksinya, byk gratis ongkirnya, dan toko2 berkualitas dgn harga murah","5"
"Seara Ambrina","Cashback toko points gak masuk padahal udah pesanan selesei.","1"
"Ringga_Jati Ringga_Jati","respon sangat cepat","5"
"Andry Phin","Katanya akun saya dapat bonus tapi ga bisa pakai","5"
"Siwi Suci","respon cepat penanganannya juga cepat....pengiriman cepat ,kurir ok ramah ,pokoknya memuaskan belanja di tokopedia","5"
"Neng Nia Kurnia","Kesell bangett,, mau logiin susahh karna nomber handphone yang dulu ilangg,, masukk pake google juga malah nanyaiin nomberr handphone yangg dulu,, mau ubahh nomberr malahh ga biisa.. Padahall apk laiin kallo masukk pake email juga ga dii tanyaiin lagii nomberr yangg ga aktiif","1"
"Hendri WiKiZa","Diupdate sudah selesai kok gagal Sudah mulai main curang","5"
"Luky Tea","Saya pengguna pertama langsung d kecewakan udah mesen ko malah d cansel, mkasih cukup kecewa","1"
"Nur Sidiq","kurang memuaskan untuk pelayanan pelanggan","3"
"watt rezpect","Terlalu sering gagal dalam pembayaran. Sangat merugikan sekali.","1"
"ika natasya","Pertama kali belanja di tokped dapet vocer potongan 30rb pengguna baru trus tiba2 dibataalin dan saldo nya di refund ! Kecewa bgt mending toko sebelah dah!! Mau tarik saldo gmna . Kalo yg gapunya rekening","1"
"Darmawan Guru","Terbukti, Terperaya, Terdepan dan Terbaik","5"
"Dila Arsinta","pengguna baru 0 rupiah aye aye","5"
"Hayani Hayani","Belom pernah belanja","5"
"Natasya Putri","mantap gratis ongkir nya","5"
"Wiranto Chiu","Kok tidak bisa tambahkan pembayaran kartu debit?? Di tolak terus","3"
"Makmum dasilva dosantos","Kupon gk bisa di pake tanpa kejelasan dan point sering gak dapat terlalu banyak prank ni apk","1"
"Rekinta Sibarani","Simple dan mudah di mengerti","5"
"Yuliana Yuliana","sangat puas belanja di tokopedia, sukses dan jaya selalu","5"
"Wily Yanto007","keren banyak promo nya","5"
"Hashimpalancol Ar Ramlan","Saya dapat hadiah ... Rp1.000.000","5"
"fakta kerja nyata dan smart","Gw suka gelaiiiiii..... mari cintai produk indonesia dan tinggalkan produk asing yang numpang kaya di Indonesia","5"
"Neneng Sopiah","Aplikasi nya bagus banget,terima kasih Tokopedia","5"
"Nisa Aulia","Tiap mau COD pasti ga bisa, pas bayar lewat bri malah dibatalin, jadi males belanja banyak gangguan terus","1"
"M Fafa","Sangat membantu untuk kebutuhan sehari""","5"
"kantibarni tersiani","Pengguna baru Rp.0 adalah cuma buat rame2,bohong.. Kecewa banget download tokopedia.. Auto uninstal!!! Udah lama pake toko sebelah juga transaksi lebih enak gak tipu tipu kaya aplikasi ini..","1"
"Ratih Yanuar","Kenapa tiba2 apk tidak bisa d buka/error?","3"
"Chacink Kooth","Pesanannya g ada uang g kembali,gimana nih,saya laporin kepihak yang berwajib","1"
"masithoh ithoh","TokopediaCare semakin menyenangkan","5"
"Didi Dorris","Pas di saat perlu dan selalu ada","5"
"ridwan Maulana","Dan terjadi lagi, saya belanja holder gps HP motor di tokopedia, dan barang nya kurang, saya complain, atau minta return, barang yang dikirim biasanya tertera alamat sih pengirim dan sih penerima di atas paket, tapi ini malah alamat sih penerima aja yg ditulis, sedangkan alamat sih pengirim tidak ditulis, saya mau return tapi tidak tau alamat nya, mohon ditindaklanjuti complain saya. Saya sudah UP ke media sosial. Mohon untuk seller yang seperti itu di block aja akun nya.","1"
"Siti Aminah","Saya gabisa pilih pembayaran hasilnya saya ga bisa beli apa apa ditokopedia:(","1"
"AS KUNCORO","Pesan barangnya, dapat dipercaya","5"
"Sinta Septia","tkopedia mantap. jos. banyak gratis ongkirnya","5"
"Bumi Ganesya Ganesya","Ko ada iklan nya sii","1"
"Borneo Bali Tour","Respon otomatis cepat saat sy sebagai pembeli transfer ke rekening tokopedia, tp saat pembatalan pembelian dan dana yg saya transfer harus kembali ke rekening saya tidak otomatis balik cepat. Kerugian bagi saya karena saya tidak bisa menggunakan dana saya utk transaksi yg lain. Dan kerugian juga bagi penjual karena pembelian jd tertunda","3"
"Yakub Ismail","Sy jadi suka blanja di tokopedia","5"
"Sujono Ragil","mantapppppp toko pediaku...mudah dan terjamin","5"
"Yuli Kristianti","Puas tapi Kenapa ya kemarin pas pilih pembayaran ga bisa, malah muncul net::ERR_TIMED_OUT","4"
"Dechi Yanthi","akukasih bintang lima karena apalikasi ini....bagus banget...... ????????????","5"
"Nur Syifa Setiawan","Traktiran bang....awokawokawok...mo percaya ternyata kena tipu...emang gratis tapi kalau awalnya nipu ya sampe akhir tetap nipu lah.....","1"
"Yek Pangkasefna","banyak promo bonusnya","5"
"Sahidin Depok","Update barang toko tolong di kontrol. Stok ada , di beli kosong jadi kcwa .","4"
"CELINE","4 bintang dulu yaa kalau memuaskan tambah 1bintang","4"
"wiji mulyani","Ini pengalaman pertama kali saya belanja di toko pedia. Tp ini benar-benar buat aku kesal. Tengah malam melakukan transaksi dengan promo khusus pengguna baru gratis ongkir 30 ribu. Paginya uang sudah saya transfer sesuai pesanan. Ternyata waktu lihat aplikasi, pesanan sudah dibatalkan oleh toko pedia. Saya yakin tidak melanggar ketentuan apa pun seperti dituduhkan. Pas mau refund dana,ribetnya minta ampun. Benar-benar aplikasi yang hanya buang - buang waktu, tenaga dan kuota saja.","1"
"Andri Yanto","Toko pedia sangat membantu untunk keperluwan saya apa yang saya mau pasti ada jikalo masih ada barang nyang diinginkan ok dah ??","5"
"Samsul Martapura","Aplikasi yang sangat membantu dsaat sekarang ini.","5"
"Muliady Angkawidjaja","Dgn Tokopedia menjadi mudah dan aman berbelanja.","5"
"Sanceng Stiawan","Sama saya juga dikecewakan setelah 2 hri pesanan saya ga diproses, dan dibatalkan oleh pihak toko pedia.","1"
"Ivan Firdaus","Gimana caranya saya untuk ambil hadiah nya","5"
"Ardi Antok","Saya beri bintang 3 karena saya baru mengunakan apk ini","3"
"GURU TIPAR AREN","Saya baru sekali mencoba,,, langsung bayar cash tapi barang tidak sampai tujuan. Dana tidak dikembalikan. Apakah ini aplikasi penipuan..???","1"
"Laiman Asiyah","Assalamualaikum.kepada pihak tokopedia saya kasih dua**dulu ya biar semuanya terbukti pemenang dari google","2"
"rizky rosady","Udah nicesii tapii, sebagai salah 1 langganan tidak pernah mendapatkan promo yang dibutuhkan padahal story pembelanjaan tentang fashion tapi selalu dikasih diskon makanan hmmmmm","3"
"Ujang Setiadi","Ni sya kasi 5 tapi mana buktinya hadiah nya","5"
"Stevan Malonda","Asu...!!!! Bilang aja kalo pengguna baru itu memang ga ada HADIAH.. ga usah PHP segala.. baru klik bayar, langsung dari pihak Tokped membatalkan sepihak pesanan saya., akhirnya tidak bisa lagi menggunakan promo hadiah pengguna baru karena yg pesanan pertama sdh tercatat transaksi yg ujung2nya pembatalan sepihak oleh team Tokopedia. GA USAH PAKE PROMO HADIAH BAGI PENGGUNA BARU BOS!!! FAKTANYA CUMA PHP DOANG LU.. PARAH LU BOS..??????","1"
"Reank Agenk","sangat recomended bgt","5"
"Talita Sakhi","respon penjual sangat baik,,cepat tanggap,,makin sukaaa dengan tokopedia","5"
"Timade Maghurang","Belanja di toko pedia selalu mantap tidak kurang dan tepat waktu","5"
"Muhammad Ridwan Hakim","Naikin rating dari 4 ke 5 good lah, cashbacknya makin lama makin turun, banyakin lagi promonya","5"
"–? shizu !","Aky sukaaaaaaaa bangettt! Kenapa? Karna aku dapet robux 10.000 ???????? jadi aku kasih bintang 5 :)","5"
"Arif Pamungkas","pokoknya mantap lah","5"
"Dean Atha","Saya mau belanja kok gk bisa ya... Udh milih pembayaranya udh klik bayar tapi mlah gk bisa... Malah kembali ke beranda... Udh dicoba beberapa kali tetep aja sama... Jdi gk bisa belanja","1"
"Yadevaren Kurniawan","Hoax ternyata gak dpt voucher 1jt","1"
"Teguh Prihantoro","tolong dipertahankan dan ditingkatkan","5"
"Uq lexmana","Belanja mudah banyak promo pula.. Maju terus Tokopedia","5"
"Ardhy Aryo","SESAMA30 Gimana caranya di ambil hadiah vocher Tokopedia 1.000.000 Rp.","5"
"Muhammad Pandi Official","Tolong sampaikan kepemilik toko kalau barang ga ready ga usah di post , giliran di order pembatalan susah bener","1"
"Darus Salam","Selesai Transaksi pertama HP langsung Error sendiri waktu yg lama. Hidup lemot sekali. AplikasiTokopedia hilang.. Saya log daftar lagi.. 2Minggu Pesanan tidak di kirim. saya Batalkan dan ajukan Pengembalian dana. Saya di hubungi Greyter Aplikasi Tokopedia Jakarta? katanya Uang belum masuk.. Sarannya agar minta ulang struk pembayaran geraiAlfamart.. gerai tidak bisa memberi struk tanpa Pembayaran? Kemana ya.. perginya_? Bagi saya Nilai segitu amat berarti?Aneh? saya harus kehilangan","1"
"Adim Saefudin","Kurang senang karena setiap mau masuk menu pembayaran saat melakukan transaksi pembelian pulsa dll selalu saja error untuk apa ngeluarin promo potongan harga toh gak bisa kepake cuma gara2 pembayarannya gak bisa diselesaikan sebaiknya perbaiki itu dulu kalau soal promo2 sih oke tapi kalau cuma karena hal sepele kayak gitu jadi susah retel onlineshop sebelah lebih baik walaupun gak ngeluarin banyak promo setidaknya proses transaksi nggak terhambat. Servus","3"
"riski anggraini","free ongkir semoga segera dengan tanpa minimal transaksi","3"
"Puput Daniyati","Tokopedia mantap, banyak cashback dan gratis ongkir.","5"
"Bahar 848","Terima kasih semoga Tokopedia maju terus dan berjaya selalu","5"
"Manusia Badut","tolong saya mau checkout pembayaran tapi.error terus.tolong perhatikan lagi sistemnya","5"
"Dava Oktadi","Sumpah kecewa dengan Tokopedia masa saya bayar barang langsung di batalkan otomatis. Tidak memenuhi persyaratan padahal kan alamat dan nama nya jelas jelas punya saya kok di batalkan mana udh di bayar lg","1"
"Swahyunni","Setiap chekout untuk pembayaran, knp eror mulu yak. Hemmm","2"
"Mr Difong","Punya ku ngga di konfirmasi sangat kecewa aku saranin jangan instal udah gitu aku nunggu seharian gimana ngga nyesek tu","1"
"Rury Rangkuti","terverifikasi dgn cepat","5"
"Chandra Nugraha","pelayanan fast respon","5"
"Bayu Santika","ya lumayan lbih gampang d gk ribet","2"
"monggo jaya","belanja le bih mudah.","5"
"Romi Noviko","Promo dipulsa cuma tipu tipu....pas digunakan tdk bisa hanya pengguna pertama padahal blm pernah digunakan.....","1"
"Devi Tamara","suka banget sm potongan voc 20rb nya ehehe","4"
"Putra Wisesa","Good good good ,saya ingin bisa pakai paylater di tokopedia","5"
"Abdurrahman Salfaridyo","Seru aplikasinya sangat mempermudah dalam bertransaksi","5"
"Syahira Maulida","Katanya dpat vocher 1 juta dari toped tp blum ada","2"
"Nurul Maisya","Uninstall aja deh mengecewakan soalnya.","1"
"Sholeh Rosyad","Katanya dapat dm ff ternyata saya di tipu dah instal apk toko pedia tapi di tipu kalo beneran dm nya dikirim saya kasih bintang 5","1"
"Iput Aramita","selama menjadi pelanggan tokopedia alhamdulillah blm pernah kecewa,respon penjual jg bagus,setiap komplain alhamdulillah respon dr tokopedia dan penjual cepat,semoga selalu ditingkatkan terus pelayanan nya agar pelanggan bertambah banyak, terimakasih","5"
"OTAK JEPANG","apl gak nyaman,,gak bisa cod","1"
"Hik Mah","Apakah voucher 300 beneran dapet ta","4"
"Herni Dwi","Belom ada .dn baru mau jd pelanggan","4"
"Zainal Udo","Memang toko pedia rekomen deh","5"
"Pung Saumin","Sangat membantu gw yg suka pusing milih barang pajangan offline dan gak pintar nawar","4"
"Jemmy Yusak","Jaringan internet cepat dan tepat","5"
"M yus Sufrianto","Di bri 3 ini dlu karna sya blum banyak mengerti hal ini. Msi mau blajar,","3"
"Dede Mursid","Ini gimana sih, tokopedia byme susah nyari menunya. Atau udah gak berlaku lagi?","4"
"DIKA","Sya belum paham Saya sudah punya aplikasi toko pedia Kenapa di suruh download terus aplikasihx Saya kecewa","5"
"Darsono Sono","mantap dah cari customernya","5"
"Candra Sinar","Tokopedia Marketplace Kesayangan saya.. Cinta sama Tokopedia.. Teruslah Berkarya","5"
"MAS LANJAR DEES","Aku suka tokopedia karena salut dg foundernya????","5"
"Rere Rere","Ngasih hadiah tapi? Kaga niat ngasih.. Toko pedia asu","2"
"Parnando Ardiansyah Harahap","Untuk toko yang sudah 30 hari tidak aktif mohon dihilangkan","4"
"HERBIN RAYNALDI SYAHRONI","Mantap, tambahin paylater lebih mantap","5"
"Fauzi Luqman Noor Ikhwan","Nice app. Interface simple dan gak bikin ribet. Pokoknya mantep lah.","5"
"Heri Suryahadi","Tokopedia jaya selalu deh","5"
"Widia untuk Zaen","Aku kasih Bintang 5 Krn puas banget belanja di sini..Banyak Promo Dan Gratis Ongkir.. alhamdulillah Setiap Pengirimannya juga Sesuai dengan gambar gak abal"".","5"
"Tony Andriyanto","sebagai pengguna baru saya merasa tokopedia sangat membantu","4"
"Rudi nurdin chanel","Pertama kali blanja online,semoga amanah ya blanja di sini","5"
"Rya Aprillia","Gak pernah kecewa pesan di tokped, dan sy sllu suka Krn tokopointx bs ditukar dg brg lg ??","5"
"Bima Al","Pelayanan yg bagus dan cepat, dlm tiga hari pesanan sdh bisa sampai ke tujuan.","5"
"Koko Thamrin","Keren, sangat keren mulai aja dulu asik tokopedia","5"
"abdul rohman","Ongkir ke Papua tolong dong dipertimbangkan","3"
"Abel Zulfikar","Tolong dong buat opsi pembayarannya dengan gopay kan udh marger.. kok madih belom bisa pembayaran dengan gopay si? Kalo ada opsi pembayaran dengan gopay saya kasih bintang 5","4"
"Sopian Sinaga","Bagus ni. Tapi mau tanya apa emang ada hadih nya","1"
"Yunus Tehos","Dua dlu, klau ok sya tmbah lgi","2"
"Wildan Oke","Saya pengguna baru saya masih mau coba","4"
"almada aulia","Sekarang mempercayai tokped aja ,,yah walaupun belum banyak seller 2 yang jual ditokped tapi GK nyesel gunain tokped masalahnya hadiah yg dikasih tiap hari nya lumayan bgt apalagi batas waktunya yg dikasih juga cukup lama ,jadi menghemat biaya bgt buat aku yg suka hemat heheh??????,btw thanks yah tokped atas hadiah atau koin2 yang diberikan memuaskan sekali .semoga banyak seller yg percaya dan jual barangnya di Tokopedia biar banyak varian nya.","5"
"Putri Mega Rentika","Alhamdulillah dpt produk gratiss,tis,tis... terima kasih Tokopedia","5"
"Pisang Kecil","Tokopedia Ori banget!","5"
"sandy wijaya","good aplikasi Jadi mudah untuk belanja online","5"
"saepidin ahmad","keren apa lg klw gratisan","5"
"Hisyam maulana","terimakasih Tokopedia smoga sukses","5"
"film kartun anak lucu","Mantap.semoga dpt hadiah","5"
"Dony Aryanto","sangat membantu memenuhi kebutuhan","5"
"Udan Aming","Nama saya yadi tinggal di jawa barat dekat taman bunga nusantara t0long hadiah nya anterin ke tempat saya bekerja di perusahaan swasta yang ada di indonesia ada dua","2"
"Sri Boyati","Bodo amat lahhh saya pengguna baru ada promo gratisan eh dibatalkan pesenannya. nggak pernah nglanggar peraturan malah transaksi dibatalkan. 5 kali berturut turut","1"
"Ridwan Sundaya","Aplikasi yg sangat membantu...","4"
"Izzi Qonnita","Aplikasi belanja online paling lengkap ya di Tokopedia, aku nggak nyesel udah install aplikasinya. Semoga berkembang terus aplikasinya ????????","5"
"akhmad cahyono","toko dengan variasi produk yang banyak","5"
"Rizky Sullivan","Buruk sekali di notifnya udah nyampe ke tujuan ko sama saya barangnya belum keterima , yang salah kurirnya atw tokped nya sendiri ?","5"
"Mia Mia","Sayang aplikasinya gak bisa cod dan saya sudah instal aplikasi ini semogah saja bisa bayar ditempat gak kaya di shopee...huuuyyyy kasian","1"
"very hidayat","Terpercaya, aman dan nyaman. Pokoknya is the Best tokped","5"
"Muhamad Dera","Ga sesuai dengan tulisan, penipu","1"
"Sis Wanto","asyik.pengguna baru dpet traktiran gratis.ini yg paling demen","4"
"Erikson Kair","Terimakasih sudah mau bagi-bagi hadiah nya.","5"
"Lilik Suloso","Aplikasi yg bagus... sy selalu transaksi dgn ini. Dan puas sekali","5"
"Dedi Agustian","baru upload langsung dapet gratisan makasih tokped??","5"
"Kiki Ap","Sukses sllu utk Tokopedia ttp dipertahankan utk sllu mberikan info yg tbru jg pelayanan yg tbaik","5"
"Wardhiah Said","Tokopedia taikkkkkkkkkkk gk mutu...","1"
"Ma'arifah Husen IFA Husen","Maaf ya,blm bisa kasi ilasan.barangnya belum ada.betul atau tidak hadia itu.ada barangnya baru kasi ulasan","5"
"Arza ariwahyudi","Sekarang tokopedia pelit, sudah jarang memberi diskon, ongkir gratis harus minimal belanja 50rb dan minimal 1 ongkir gratis hanya untuk satu kali transaksi , lebih mending shope yg satu vocher bisa untuk checkout semua barang.","1"
"MUHAMAD RAFLI","Mantap sekali berbelanja sini","5"
"Aulyachz Official","suka banget sama tokped, fitur - fitur nya sangat mudah di gunakan??","5"
"BOEDAY EMANG BOEDIMAN","belanja pertama ku di Tokopedia","5"
"Dika Anggara","sering ada promo enak ni","5"
"Febrianto Eko","Saran saya utk toko tidak aktip 30 hari di kasih setting di akunnya . Mau di lihatkan / tidak .","5"
"Mafruhin Fuad","Toko online paling diminati banyak orang","5"
"REYN NOLOIS","Terima Kasih atas kenyamanannya, memberi solusi terbaik dalam belanja aman & nyaman. Pengiriman bebas ongkir selalu serta promo cashback yg menarik, terus tingkatkan.","5"
"Leo Karsono","Saya kasih 3 dl karna baru mo gnkn aplikasi ini","3"
"Irul Iyung","mantulll cepat download","5"
"Agustine Bahagiani","Sulit utk debit saldo utk byr item yg dibeli, lbh mudah Shoppe prosesnya","3"
"Salma Wati","sangat baik untuk belanja. apa saja ada bahkan untuk pelatihan.. oke deh pokoknya. trimakasiiiihhh","5"
"Layla mahya","lebih sering2 RP.0 ya..sukses selalu","5"
"Indra Romli Wijaya","Market Place luar biasa banyak promonya buat buyer. Mudah-mudahan berkah, ada untungnya buat para seller.","5"
"Bernato Syahputra","Saya suka toko pedia ,menyenangkan","3"
"????","Saya agak kecewa, karena aplikasi ini sering error.. beberapa kali buka tokped ""terjadi kesalahan, ulangi beberapa saat lagi"" Internet bagus.. hp OK... terjadi kesalahan dimana coba?!! Saya sampai sering bgt uninstall terus di install lagi... capek lho gini terus??????????????","3"
"Lutfi Saputra","Selalu bis di toko","5"
"Ika Wulansari","Tokopedia sgt memuaskan,trima ksh tokopedia","5"
"Kmlaa Kmlaa","saya pengguna baru yg bener² cm punya satu akun, trs karena ada promo diskon 30rb jd sy tertarik. stlah itu sy order dg promo, dn sy tf dr briva stlh tf lah tiba² pesanan saya dibatalin tbtb dg alasan sy melanggar peraturan dg mempunyai akun lebih dr 1. serius nyesel bgttt parah si baru kali ini. maaf kak tp saya kesel bgt sm apk ini","1"
"Alika Aja","Mohon kepada tokopedia jangan melakukan penipuan dgn memberikan macam2 hadiah dri google chrom. yg ujung2 di sruh donlot apps TOKPED. Tpi hadiah nya gk bsa di ambil. Dasar tukang tipu pngen bnyak pngguna tokped tpi pakai cara gk mutu.","1"
"Ijul Fikar","Saya dapat vocher 1.000.000 dari toko pedia tapi saya tidak dapat knp y","5"
"maya devi tri purnamasari","sebagai pengguna baru ada fasilitas seperti ini sungguh woww bagi saya.. sukses terus tokopedia","5"
"Bom deLonge","Alhamdulillah sejauh ini kerjasama nya baik2 saja.. semoga silahturahmi baik nya terjaga selalu.. aamiin","5"
"Rani Cornelia manullang","Astaga kenapa barang ku ga datang datang ka padahal aku dah tf duluan","1"
"Diana Ayu puspita","baru nyoba gratis ongkir ga ya","3"
"Ihda Biefaz","Belanja lebih hemat dari ovo point dan tokopedia. suka ada cashback dan free ongkir dan variatif toko2nya, ada warning kalo ada toko yg ga aktif jadi pas mau belanja qt ga jd belanja, karna ada info toko lama tidak aktif dll. Sukses selalu tokped moga makin banyak kemudahan yg didapat smua","5"
"Art Lu-Na","Saya sudah cocok dengan tokopedia.. Tapi toko yg tidak aktif lebih dari 30 hari sebaiknya di hapus, karna sangat mengganggu pencarian barang yg saya butuhkan,, juga banyak toko yg main2, tolong tindak tegas toko yg membatalkan pesanan secara sepihak, nanti saya tambahkan bintang nya jika sudah di update, semoga jadi lbh Baik lagi","3"
"Ali Topan","Slmt pgi untuk aplikasi tokopedia. Kenapa setiap kali mengajukan pinjaman modal selalu gagal dan kembali trus kemenu utama. Apakah tokopedia menyediakan pinjaman onlen buat penambambahan modal usaha sya apa tdk? Trima ksih. Sukses selaluuuuu.","5"
"Garlic Bread","halo min, tolong min untuk sistem pembayaran COD di daerah Badung, Bali agar dapat digunaka. terimakasih.","4"
"Harry Azriel","Knp selalu di update versi terbaru tiap bulannya ? Klo menurut saya ga penting..","2"
"Agustina Ndruru","Bintang satu dulu karna baru bergabung ni","1"
"badar muhammad","mantab sekali tokped. nyesel nggak donlot dari dulu","5"
"Mardiana Yasin","Beli barang di Tokopedia bagus2 semua, ngak terkecoh emang benar2 berkualitas dengan harga yang miring.","4"
"mrsy fh","belum tau si kendalanya dimana, baru punya akun tokped. nanti review ulang","5"
"Brother shark","Mau tarik tunai gk bsa suruh masukin kata sandi trus kata sandi sudah gua masukin eh ada bacaan akun anda sudah memiliki kata sandi... Cara nya gmna byr bsa tarik","2"
"Hasan Sofian","Terima kasih TOKPED. atas kebikan nya","5"
"Kungfu Komang","Mau beri Ulasan server error Mau liat ulasan server error????","5"
"Dela A","Opsional Daera desa talng gerdu Tanggal lahi bulan 11duaribu 209 tanggal 1 usi 12","5"
"Askuri Kok","Gratis ongkirnya benar benar nyata dan sangat membantu.","5"
"Noor Solichin alatperagasemarang","Kenapa setiap kali sy order, stelah tinggal pembayaran, sy tdk bs memastikan toko serta produknya, yg akhirnya sy berbelanja di toko sy lama tdk aktif dan tidak ada respon dr seller. Buatlah kami agar bs ngecek rincian pesanan walopun hny tinggal pembayaran. Biar kami bisa memastikan lagi. Seller yg lama tdk aktif, sy ingin membatalkan krn pernah order tdk d krm. Tp kok pembatalan sy menunggu respon dr seller, ya uang sy nganggur dsna bbrp hari, pembatalan order yg belum di terima oleh seller","1"
"slide Gamerz","Beneran dtraktir sih tapi belum tau beneran dateng ngga barangnya kalo dateng sih makasih traktirannya","5"
"Andrey Dickey","Sponsor di internet sangat berlebihan karna berbentuk video, sehingga merusak kinerja aplikasi","1"
"Dwi Prasetya","Pengalaman belanja ditoped selalu menyenangkan karena banyak promo dan diskon..terima kasih toped","5"
"Udin Ponpol","semoga barangnya sesuai","5"
"Ipank Fokus","sealalu ada untuk saya...","5"
"Nova Lahamendu","Aku dapat voecer 300 ribu ap benar.. Jangan-jangan bohong.","5"
"Supriyadi Hidayat","Untuk waktu sekarang banyak toko yang cuek ke pembeli malah banyak yang sudah offline tapi masih ada daftar jual","3"
"Sasy Arsenyo","Sya berharap bisa mendapatkan hadiah","5"
